artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,track_name_id
2,2022,6,17,5871,27,618885532,81,121,58,1,34,163,1,0,0.4,0.67,0.0,0.0,0.09,0.17,143
1,2013,1,1,29215,43,2011464183,179,97,3394,11,153,122,0,0,0.48,0.71,0.06,0.0,0.12,0.04,144
1,2021,3,19,5866,24,1167330737,107,38,95,0,0,154,1,0,0.41,0.74,0.21,0.0,0.4,0.06,145
1,2019,10,4,3859,26,929964809,133,181,3,0,0,117,0,1,0.31,0.69,0.06,0.0,0.11,0.04,146
2,2023,1,23,961,26,436027885,19,143,10,6,15,138,0,1,0.89,0.83,0.1,0.0,0.12,0.05,147
1,2004,7,13,6457,18,657723613,98,95,453,0,454,96,1,1,0.74,0.8,0.33,0.0,0.08,0.06,148
3,2016,4,4,43257,24,2713922350,433,107,3631,0,26,104,1,1,0.36,0.63,0.01,0.0,0.36,0.05,149
1,2010,1,1,4564,16,621660989,24,101,113,0,40,164,1,0,0.24,0.62,0.08,0.0,0.16,0.03,150
1,2020,3,20,12688,13,1591223784,197,115,112,0,200,118,1,1,0.61,0.82,0.02,0.0,0.5,0.03,151
1,2010,5,25,13801,19,950906471,137,125,435,6,285,81,0,1,0.51,0.6,0.03,0.0,0.19,0.1,152
1,1983,1,6,22439,19,1593270737,211,74,929,0,129,117,1,1,0.73,0.45,0.54,0.0,0.07,0.03,153
1,2015,2,2,18515,35,1410088830,70,82,939,1,162,174,1,0,0.1,0.37,0.97,0.25,0.64,0.04,154
2,2011,1,1,36843,21,1235005533,321,91,4607,1,58,128,1,1,0.6,0.77,0.03,0.0,0.11,0.04,155
1,2012,12,5,2420,11,1661187319,0,0,806,0,0,145,1,0,0.43,0.27,0.94,0.0,0.14,0.04,156
1,2018,5,25,5897,19,1374581173,0,0,885,0,0,150,0,0,0.51,0.55,0.73,0.0,0.14,0.03,157
3,2023,6,2,727,16,94186466,17,60,28,1,44,90,0,0,0.13,0.53,0.04,0.0,0.21,0.04,158
1,2013,1,1,33783,26,1788326445,133,92,2733,1,26,85,1,0,0.42,0.53,0.17,0.0,0.22,0.03,159
1,2012,1,1,26694,13,1840364617,65,82,3425,4,13,180,1,0,0.38,0.71,0.2,0.0,0.28,0.05,160
1,2016,11,25,6518,17,684675814,45,85,238,1,47,160,1,1,0.4,0.5,0.16,0.0,0.16,0.22,161
1,2014,1,1,21335,13,1113838873,328,70,1378,9,20,160,1,0,0.95,0.8,0.05,0.0,0.41,0.16,162
1,2013,1,1,23389,29,1267333350,54,70,1089,2,1,92,1,1,0.81,0.63,0.04,0.0,0.08,0.04,163
1,2022,3,19,3202,18,726307468,148,80,226,24,0,170,1,0,0.53,0.64,0.11,0.0,0.45,0.06,771
1,2017,1,6,32181,10,3562543890,33,0,6808,7,0,96,0,1,0.93,0.65,0.58,0.0,0.09,0.08,165
1,2014,11,17,7124,18,1131090940,60,20,2,0,0,120,1,0,0.4,0.52,0.86,0.0,0.12,0.04,166
2,2023,1,13,592,14,307370144,11,84,6,1,30,98,1,1,0.37,0.54,0.06,0.0,0.09,0.08,167
1,1992,9,21,36724,7,1271293243,146,72,6807,5,80,92,1,0,0.12,0.34,0.01,0.0,0.12,0.04,168
1,2019,10,18,794,10,265882712,38,25,61,0,263,150,1,0,0.24,0.56,0.04,0.0,0.11,0.03,169
1,2017,3,21,13091,17,841749534,61,96,790,2,116,94,1,0,0.17,0.47,0.02,0.46,0.11,0.03,170
1,2023,5,19,67,8,47956378,7,10,0,0,57,90,0,1,0.36,0.63,0.26,0.0,0.27,0.05,171
1,2016,8,20,21574,30,806397070,112,68,266,1,39,160,1,0,0.54,0.55,0.67,0.0,0.42,0.11,172
1,2019,8,30,19664,16,2132335812,391,73,633,3,37,120,1,1,0.59,0.75,0.24,0.0,0.09,0.04,173
1,2010,1,1,21106,13,1641426668,82,0,2946,0,0,109,1,0,0.46,0.85,0.01,0.0,0.09,0.05,174
1,2013,9,13,23804,31,2135158446,187,99,4623,1,0,129,0,0,0.41,0.66,0.63,0.0,0.12,0.05,175
2,2022,12,16,849,22,367316268,27,129,21,7,111,157,1,0,0.75,0.6,0.3,0.0,0.07,0.05,176
1,2023,7,7,86,11,30343206,3,33,3,0,1,146,0,0,0.67,0.89,0.0,0.0,0.19,0.08,177
1,2020,2,10,1788,14,405136812,1,50,19,0,19,139,0,0,0.37,0.41,0.32,0.0,0.1,0.1,178
1,1968,7,1,15890,14,1145727611,71,37,653,0,167,116,1,1,0.76,0.7,0.07,0.0,0.13,0.03,179
1,2010,7,20,492,36,540654286,4,3,19,0,0,95,0,1,0.52,0.77,0.12,0.0,0.07,0.04,180
4,2023,6,8,773,33,57312735,20,46,21,8,99,170,0,0,0.55,0.8,0.15,0.0,0.37,0.07,181
1,2022,12,19,1154,22,397582059,28,125,11,1,51,134,0,1,0.18,0.64,0.03,0.0,0.1,0.11,182
1,1984,10,19,44927,17,1479115056,34,0,5108,6,0,84,0,0,0.86,0.9,0.02,0.0,0.09,0.05,183
4,2023,6,2,551,4,86773632,13,46,20,1,10,146,0,0,0.2,0.48,0.21,0.0,0.12,0.06,184
5,2023,5,1,577,14,133753727,22,18,15,1,0,74,0,0,0.24,0.67,0.11,0.0,0.1,0.28,185
3,2022,11,24,995,19,463564958,12,117,9,5,3,136,0,1,0.79,0.73,0.15,0.0,0.27,0.1,186
3,2023,5,15,178,6,64533040,6,71,1,0,31,100,1,0,0.53,0.55,0.53,0.0,0.12,0.04,187
1,2023,6,2,290,19,65496046,9,101,5,0,73,105,0,1,0.67,0.78,0.09,0.0,0.07,0.33,188
1,2023,5,26,547,0,68616963,15,15,6,0,0,106,1,0,0.24,0.78,0.15,0.0,0.3,0.04,189
2,2023,3,30,681,10,161460990,15,92,21,2,26,132,1,1,0.53,0.68,0.4,0.0,0.09,0.04,190
2,2023,6,2,332,5,70106975,18,41,5,0,19,120,1,1,0.05,0.3,0.21,0.0,0.13,0.05,191
2,2023,3,17,1197,13,113509496,44,34,25,1,171,155,1,1,0.51,0.39,0.02,0.0,0.09,0.49,192
2,2022,9,29,161,6,71007139,10,79,2,0,42,135,0,1,0.85,0.74,0.62,0.0,0.08,0.09,193
1,2023,3,31,839,18,232896922,20,110,20,0,69,124,0,1,0.64,0.39,0.03,0.0,0.11,0.04,194
3,2023,6,2,259,0,37126685,5,17,5,0,0,135,0,1,0.28,0.55,0.18,0.0,0.22,0.15,195
1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,1,1,0.39,0.53,0.3,0.0,0.11,0.06,196
2,2022,10,12,5129,25,532336353,116,84,114,18,348,96,1,0,0.25,0.74,0.14,0.0,0.09,0.11,197
2,2022,11,30,3794,34,538115192,47,77,53,10,8,123,1,1,0.58,0.7,0.3,0.0,0.32,0.19,198
2,2023,5,26,588,0,46142772,23,21,31,0,0,90,1,0,0.07,0.62,0.06,0.0,0.58,0.06,199
3,2022,12,2,2959,16,401036314,41,69,38,0,36,117,0,1,0.45,0.59,0.14,0.0,0.2,0.21,200
2,2023,4,4,291,8,127026613,8,78,4,1,1,133,0,1,0.9,0.84,0.31,0.0,0.07,0.04,201
1,2022,12,2,2321,36,345031710,29,65,34,5,3,96,0,1,0.61,0.83,0.11,0.0,0.35,0.06,202
2,2022,12,1,536,10,288101651,10,72,8,3,14,149,1,0,0.85,0.6,0.4,0.0,0.14,0.13,203
2,2023,5,26,359,2,60350538,1,0,9,0,0,110,0,0,0.32,0.4,0.81,0.0,0.11,0.03,204
1,2022,11,30,4096,6,335074782,118,48,143,0,240,105,1,1,0.62,0.52,0.03,0.0,0.05,0.16,205
1,2023,5,22,349,69,76767396,8,96,5,0,56,105,1,1,0.69,0.78,0.28,0.0,0.11,0.14,206
2,2023,5,26,381,5,46065667,23,82,6,0,113,134,1,1,0.61,0.58,0.06,0.0,0.16,0.03,207
1,2022,7,8,2461,36,459276435,47,66,45,5,6,170,0,1,0.59,0.56,0.04,0.0,0.27,0.12,208
2,2023,6,2,277,1,39666245,1,20,5,0,1,81,1,0,0.26,0.6,0.46,0.01,0.25,0.13,209
2,2023,3,1,967,5,138517666,7,29,51,1,29,154,1,0,0.75,0.92,0.31,0.0,0.91,0.05,210
1,2022,6,29,8186,12,822633917,155,72,131,16,29,169,1,1,0.69,0.51,0.63,0.0,0.38,0.04,211
2,2023,6,5,215,6,51985779,6,14,8,2,4,84,0,0,0.14,0.74,0.01,0.0,0.19,0.08,212
2,2023,5,18,1134,22,57945987,39,14,48,2,3,93,1,1,0.58,0.62,0.11,0.0,0.11,0.23,213
1,2023,4,7,2066,6,175097833,58,70,43,0,182,142,0,1,0.54,0.44,0.06,0.0,0.33,0.07,214
1,2022,10,21,3763,8,488386797,51,43,38,10,1,97,1,1,0.1,0.44,0.26,0.0,0.16,0.08,215
5,2023,6,2,197,0,32761689,3,10,3,0,0,101,1,1,0.59,0.51,0.41,0.51,0.26,0.08,216
1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,0,1,0.23,0.48,0.14,0.0,0.06,0.05,217
1,2023,1,27,984,5,153454328,8,57,76,2,49,154,1,0,0.63,0.89,0.18,0.0,0.8,0.09,218
